num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2211	3692.370777	73.291139	-0.247483	3.725210	80.070289
2213	3694.457130	72.129556	-0.235134	3.735765	80.787524
2215	3696.542577	71.592126	-0.271143	3.742146	79.974558
2217	3698.626361	71.169803	-0.318896	3.744480	76.352724
2219	3700.708347	70.691377	-0.405775	3.743895	73.618130
2221	3702.789087	70.144734	-0.448572	3.739539	72.499295
2223	3704.871069	69.395832	-0.462784	3.738682	70.118861
2225	3706.950945	68.790972	-0.502747	3.737059	74.546401
2227	3709.030122	68.215693	-0.501036	3.735774	72.471903
2229	3711.106524	67.627283	-0.537970	3.735024	66.736204
2231	3713.181723	67.047743	-0.489264	3.736563	69.214673
2233	3715.255430	66.397063	-0.466760	3.742116	69.847012
2235	3717.329990	65.612204	-0.460750	3.748143	64.718036
2237	3719.411845	64.502335	-0.591004	3.745718	63.859402
2239	3721.494018	63.919412	-0.708112	3.728634	66.189976
2241	3723.582964	63.339520	-0.728622	3.721778	65.516471
2243	3725.655993	62.932910	-0.441797	3.733175	60.807228
2245	3727.732104	62.551057	-0.517057	3.748632	63.208552
2247	3729.808018	61.469351	-0.658730	3.751140	57.546235
2249	3731.896910	60.390313	-0.907972	3.737408	57.486912
2251	3733.987313	59.950713	-0.885365	3.724045	55.237456
2253	3736.068072	59.907029	-0.757922	3.725695	54.760345
2255	3738.140046	59.441141	-0.753607	3.734537	54.029068
2257	3740.211925	58.638649	-0.789230	3.742341	53.424699
2259	3742.286431	57.957973	-0.799760	3.742970	53.455225
2261	3744.366063	57.309464	-0.855285	3.741646	50.997898
2263	3746.447199	56.680383	-0.875520	3.738984	49.175835
2265	3748.530051	56.076724	-0.932068	3.737110	49.119469
2267	3750.611305	55.562051	-0.948367	3.735476	47.298718
2269	3752.692527	55.034938	-0.973150	3.734466	47.232714
2271	3754.770973	54.507817	-0.996579	3.732833	48.732503
2273	3756.847894	53.798103	-1.050656	3.730686	42.663038
2275	3758.925228	53.219239	-1.084030	3.728106	45.149163
2277	3761.002753	52.675964	-1.099987	3.724716	42.143509
2279	3763.083629	51.850115	-1.115336	3.723304	40.953838
2281	3765.167794	50.942695	-1.083433	3.725400	42.375034
2283	3767.256858	50.277713	-1.041454	3.732112	39.622644
2285	3769.344441	49.910707	-1.034263	3.742482	38.521132
2287	3771.426476	49.876396	-1.136441	3.746696	39.545967
2289	3773.499480	49.911711	-1.254181	3.737215	36.017759
2291	3775.567026	49.241251	-1.319465	3.721470	37.021154
2293	3777.639672	48.291910	-1.278644	3.711779	38.990983
2295	3779.726088	47.116720	-1.147151	3.717084	34.899126
2297	3781.814924	46.528621	-1.165252	3.730440	35.843699
2299	3783.904056	46.289755	-1.175615	3.739596	35.492112
2301	3785.986379	46.178996	-1.247271	3.740322	31.066579
2303	3788.060695	46.023276	-1.300626	3.734567	32.568933
2305	3790.132318	45.595275	-1.313945	3.727698	32.923594
2307	3792.203823	45.024743	-1.304396	3.723240	29.745610
2309	3794.278794	44.231606	-1.330551	3.721886	30.942569
2311	3796.355937	43.738388	-1.304997	3.723354	28.908899
2313	3798.434967	43.286473	-1.305450	3.725888	29.224232
2315	3800.515041	42.826172	-1.307247	3.728075	30.488379
2317	3802.598261	42.269319	-1.426711	3.727791	28.123441
2319	3804.685436	41.615216	-1.408839	3.726959	28.277877
2321	3806.770325	41.400325	-1.438520	3.719500	28.331577
