crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	59.896420	3210	0.000000
281474976710655.000000	61.568485	3211	0.000000
281474976710655.000000	38.916103	3212	0.000000
281474976710655.000000	34.855511	3213	0.000000
281474976710655.000000	51.922371	3214	0.000000
281474976710655.000000	33.912743	3215	0.000000
281474976710655.000000	25.571493	3216	0.000000
281474976710655.000000	23.490135	3217	0.000000
281474976710655.000000	21.527626	3218	0.000000
281474976710655.000000	21.072584	3219	0.000000
281474976710655.000000	20.424543	3220	0.000000
281474976710655.000000	18.646326	3221	0.000000
281474976710655.000000	12.784001	3222	0.000000
281474976710655.000000	12.760625	3223	0.000000
281474976710655.000000	11.121691	3224	0.000000
281474976710655.000000	8.934143	3225	0.000000
281474976710655.000000	8.368147	3226	0.000000
281474976710655.000000	7.780140	3227	0.000000
281474976710655.000000	7.328872	3228	0.000000
281474976710655.000000	5.917387	3229	0.000000
281474976710655.000000	5.597199	3230	0.000000
281474976710655.000000	5.007696	3231	0.000000
281474976710655.000000	4.227482	3232	0.000000
281474976710655.000000	4.517883	3233	0.000000
281474976710655.000000	3.073930	3234	0.000000
281474976710655.000000	2.570179	3235	0.000000
281474976710655.000000	2.452712	3236	0.000000
281474976710655.000000	2.170206	3237	0.000000
281474976710655.000000	2.112608	3238	0.000000
281474976710655.000000	2.089520	3239	0.000000
281474976710655.000000	1.844817	3240	0.000000
