num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2917	4583.718389	55.672411	-3.060411	-1.581166	85.267674
2919	4584.764295	29.099282	-6.430040	1.421141	80.431145
2921	4587.892917	48.461943	-2.910583	-1.575031	70.527171
2923	4589.977051	45.109309	-2.816037	-1.574186	60.253466
2925	4592.062478	42.085110	-2.698294	-1.574785	52.148546
2927	4594.144028	39.132659	-2.591890	-1.578586	42.607714
2929	4596.228797	36.302870	-2.433192	-1.583210	42.798877
2931	4598.316934	33.644413	-2.315981	-1.584811	33.121765
2933	4600.410831	31.026666	-2.160318	-1.581388	28.995979
2935	4602.505603	28.732673	-2.039974	-1.575928	23.491773
2937	4604.603386	26.587677	-1.925436	-1.571108	24.421743
2939	4606.704089	24.635706	-1.772835	-1.568353	15.358810
2941	4608.795046	22.828818	-1.680962	4.714669	17.378523
2943	4610.891737	21.048221	-1.536354	4.713745	14.668911
2945	4612.987348	19.489646	-1.447719	4.708720	10.045928
2947	4615.074646	17.910789	-1.318106	4.707159	12.525767
2949	4617.171800	16.542648	-1.247242	4.700125	7.266836
2951	4619.255158	15.198092	-1.143298	4.700463	9.051566
2953	4621.353166	14.004748	-1.079686	4.693616	5.121814
2955	4623.436511	12.854693	-0.979195	4.694877	6.706364
