crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-60.439163	162	0.000000
281474976710655.000000	-85.806076	163	0.000000
281474976710655.000000	-173.451843	164	0.000000
281474976710655.000000	-58.325939	165	0.000000
281474976710655.000000	-88.747093	166	0.000000
281474976710655.000000	-42.019447	167	0.000000
281474976710655.000000	-84.903229	168	0.000000
281474976710655.000000	-182.602692	169	0.000000
281474976710655.000000	-86.486809	170	0.000000
281474976710655.000000	-87.116409	171	0.000000
281474976710655.000000	Inf	172	0.000000
281474976710655.000000	-86.484856	173	0.000000
281474976710655.000000	-78.854782	174	0.000000
281474976710655.000000	-80.302132	175	0.000000
281474976710655.000000	-79.288223	176	0.000000
281474976710655.000000	-76.593987	177	0.000000
281474976710655.000000	-60.122829	178	0.000000
281474976710655.000000	-40.829033	179	0.000000
281474976710655.000000	-50.238815	180	0.000000
281474976710655.000000	-72.431198	181	0.000000
281474976710655.000000	-35.629925	182	0.000000
281474976710655.000000	-143.845688	183	0.000000
281474976710655.000000	-38.606441	184	0.000000
281474976710655.000000	-47.258305	185	0.000000
281474976710655.000000	-57.318886	186	0.000000
281474976710655.000000	-48.965923	187	0.000000
281474976710655.000000	-131.848511	188	0.000000
281474976710655.000000	-35.959015	189	0.000000
281474976710655.000000	-79.280609	190	0.000000
281474976710655.000000	-73.186142	191	0.000000
281474976710655.000000	-141.399338	192	0.000000
281474976710655.000000	-72.571815	193	0.000000
281474976710655.000000	-67.002762	194	0.000000
281474976710655.000000	-44.868694	195	0.000000
281474976710655.000000	Inf	196	0.000000
281474976710655.000000	-43.702297	197	0.000000
281474976710655.000000	-67.038643	198	0.000000
281474976710655.000000	-61.099209	199	0.000000
281474976710655.000000	-31.322170	200	0.000000
281474976710655.000000	-63.245556	201	0.000000
281474976710655.000000	-50.526344	202	0.000000
281474976710655.000000	-65.536308	203	0.000000
281474976710655.000000	-62.384525	204	0.000000
281474976710655.000000	-58.535564	205	0.000000
281474976710655.000000	-115.828529	206	0.000000
281474976710655.000000	-66.659195	207	0.000000
281474976710655.000000	-67.090019	208	0.000000
281474976710655.000000	-57.850460	209	0.000000
281474976710655.000000	-53.739483	210	0.000000
281474976710655.000000	-44.555992	211	0.000000
281474976710655.000000	-57.391357	212	0.000000
281474976710655.000000	-44.495193	213	0.000000
281474976710655.000000	-60.010414	214	0.000000
281474976710655.000000	-84.041405	215	0.000000
281474976710655.000000	-45.003090	216	0.000000
281474976710655.000000	-53.398106	217	0.000000
281474976710655.000000	-46.904480	218	0.000000
281474976710655.000000	-56.688484	219	0.000000
281474976710655.000000	-45.133656	220	0.000000
281474976710655.000000	-40.426323	221	0.000000
281474976710655.000000	-56.421310	222	0.000000
281474976710655.000000	-52.897488	223	0.000000
