num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3143	4848.445087	71.105817	1.169599	3.726891	45.279671
3145	4850.528648	69.011564	1.218939	3.728655	40.331389
3147	4852.611720	66.895502	1.266865	3.730030	37.556091
3149	4854.692781	64.820350	1.336322	3.729355	36.090560
3151	4856.772770	62.714647	1.397046	3.728308	37.131783
3153	4858.854410	60.467781	1.454871	3.728520	33.457716
3155	4860.937700	58.340996	1.487824	3.729442	31.068545
3157	4863.022296	56.203172	1.506925	3.731274	28.381776
3159	4865.109005	54.216569	1.521774	3.731266	27.069213
3161	4867.196314	52.199755	1.539192	3.729584	25.072880
3163	4869.283361	50.345674	1.563729	3.729153	22.570601
3165	4871.369488	48.569959	1.605444	3.729788	20.783112
3167	4873.453650	46.898068	1.627693	3.731553	20.374552
3169	4875.535746	45.302937	1.649682	3.732140	18.574163
3171	4877.615050	43.761543	1.643392	3.731330	17.121844
3173	4879.693806	42.161049	1.655856	3.730279	15.676598
3175	4881.774055	40.476429	1.659430	3.728309	14.968730
3177	4883.856204	38.887094	1.669106	3.729493	13.782519
3179	4885.940139	37.302092	1.652043	3.731437	12.806026
3181	4888.027471	35.783682	1.631466	3.730626	11.958933
3183	4890.116860	34.306487	1.585039	3.728074	10.963182
3185	4892.207095	33.034839	1.565845	3.725335	10.223736
3187	4894.294452	31.888944	1.577485	3.725285	9.068152
3189	4896.378400	30.766453	1.563991	3.728026	8.981523
3191	4898.458820	29.591060	1.510041	3.727431	8.063347
3193	4900.536568	28.526396	1.486905	3.727149	7.854713
3195	4902.612501	27.435549	1.465561	3.725231	6.839000
3197	4904.690576	26.306739	1.444571	3.724416	6.137135
3199	4906.770633	25.201984	1.438636	3.724755	6.159409
3201	4908.857272	24.110072	1.404651	3.726283	5.272938
3203	4910.943870	23.041308	1.360486	3.726259	5.201662
3205	4913.034847	22.122987	1.328965	3.722701	4.435767
3207	4915.127490	21.205848	1.294349	3.718310	4.090105
3209	4917.215881	20.420746	1.276781	3.717882	3.731428
3211	4919.302249	19.689236	1.247066	3.720376	3.750796
