crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-52.904770	3526	0.000000
281474976710655.000000	-38.533081	3527	0.000000
281474976710655.000000	-39.381767	3528	0.000000
281474976710655.000000	-28.415146	3529	0.000000
281474976710655.000000	-33.087204	3530	0.000000
281474976710655.000000	-35.119007	3531	0.000000
281474976710655.000000	-37.078346	3532	0.000000
281474976710655.000000	-31.628845	3533	0.000000
281474976710655.000000	-34.164062	3534	0.000000
281474976710655.000000	-35.818771	3535	0.000000
281474976710655.000000	-27.255215	3536	0.000000
281474976710655.000000	-29.172756	3537	0.000000
281474976710655.000000	-26.557936	3538	0.000000
281474976710655.000000	-28.050117	3539	0.000000
281474976710655.000000	-27.950245	3540	0.000000
281474976710655.000000	-27.856508	3541	0.000000
281474976710655.000000	-26.765408	3542	0.000000
281474976710655.000000	-24.822939	3543	0.000000
281474976710655.000000	-25.685129	3544	0.000000
281474976710655.000000	-23.090368	3545	0.000000
281474976710655.000000	-22.870722	3546	0.000000
281474976710655.000000	-21.187784	3547	0.000000
281474976710655.000000	-22.646992	3548	0.000000
281474976710655.000000	-20.245321	3549	0.000000
281474976710655.000000	-21.017187	3550	0.000000
281474976710655.000000	-21.758020	3551	0.000000
281474976710655.000000	-19.517424	3552	0.000000
281474976710655.000000	-18.373699	3553	0.000000
281474976710655.000000	-18.469032	3554	0.000000
281474976710655.000000	-18.147064	3555	0.000000
281474976710655.000000	-17.178282	3556	0.000000
281474976710655.000000	-16.581490	3557	0.000000
281474976710655.000000	-16.368130	3558	0.000000
281474976710655.000000	-15.963374	3559	0.000000
281474976710655.000000	-15.043654	3560	0.000000
281474976710655.000000	-15.420458	3561	0.000000
281474976710655.000000	-14.406586	3562	0.000000
281474976710655.000000	-14.420847	3563	0.000000
281474976710655.000000	-13.917441	3564	0.000000
281474976710655.000000	-13.503731	3565	0.000000
281474976710655.000000	-13.077034	3566	0.000000
281474976710655.000000	-13.501885	3567	0.000000
281474976710655.000000	-12.464217	3568	0.000000
281474976710655.000000	-11.645838	3569	0.000000
281474976710655.000000	-11.592269	3570	0.000000
281474976710655.000000	-11.193998	3571	0.000000
281474976710655.000000	-10.730687	3572	0.000000
281474976710655.000000	-10.857909	3573	0.000000
281474976710655.000000	-10.328104	3574	0.000000
281474976710655.000000	-10.227559	3575	0.000000
281474976710655.000000	-9.638627	3576	0.000000
281474976710655.000000	-9.383365	3577	0.000000
281474976710655.000000	-8.957106	3578	0.000000
281474976710655.000000	-8.898293	3579	0.000000
281474976710655.000000	-8.525913	3580	0.000000
281474976710655.000000	-8.322456	3581	0.000000
281474976710655.000000	-8.133438	3582	0.000000
281474976710655.000000	-7.822383	3583	0.000000
281474976710655.000000	-7.648306	3584	0.000000
281474976710655.000000	-7.453651	3585	0.000000
281474976710655.000000	-7.107686	3586	0.000000
281474976710655.000000	-6.937638	3587	0.000000
281474976710655.000000	-6.687601	3588	0.000000
281474976710655.000000	-6.439849	3589	0.000000
281474976710655.000000	-6.132084	3590	0.000000
281474976710655.000000	-6.250368	3591	0.000000
281474976710655.000000	-5.939721	3592	0.000000
281474976710655.000000	-5.948087	3593	0.000000
281474976710655.000000	-5.543046	3594	0.000000
281474976710655.000000	-5.452217	3595	0.000000
281474976710655.000000	-5.288151	3596	0.000000
281474976710655.000000	-5.187071	3597	0.000000
281474976710655.000000	-4.880591	3598	0.000000
281474976710655.000000	-4.805362	3599	0.000000
281474976710655.000000	-4.535154	3600	0.000000
281474976710655.000000	-4.485192	3601	0.000000
281474976710655.000000	-4.295382	3602	0.000000
281474976710655.000000	-4.154266	3603	0.000000
281474976710655.000000	-4.056789	3604	0.000000
281474976710655.000000	-3.954958	3605	0.000000
281474976710655.000000	-3.792420	3606	0.000000
281474976710655.000000	-3.714839	3607	0.000000
281474976710655.000000	-3.533880	3608	0.000000
281474976710655.000000	-3.516845	3609	0.000000
281474976710655.000000	-3.287073	3610	0.000000
281474976710655.000000	-3.280463	3611	0.000000
281474976710655.000000	-2.910852	3612	0.000000
281474976710655.000000	-2.992089	3613	0.000000
